kangaroo.n.01	marsupial.n.01
domestic_goat.n.01	even-toed_ungulate.n.01
rock_squirrel.n.01	ground_squirrel.n.02
vizsla.n.01	dog.n.01
dandie_dinmont.n.01	mammal.n.01
broodmare.n.01	horse.n.01
spotted_skunk.n.01	spotted_skunk.n.01
hispid_pocket_mouse.n.01	hispid_pocket_mouse.n.01
lesser_kudu.n.01	placental.n.01
water_shrew.n.01	insectivore.n.01
silky_anteater.n.01	placental.n.01
giant_kangaroo.n.01	metatherian.n.01
bronco.n.01	bronco.n.01
pekinese.n.01	pekinese.n.01
seattle_slew.n.01	thoroughbred.n.02
kinkajou.n.01	kinkajou.n.01
boxer.n.04	mammal.n.01
rabbit.n.01	placental.n.01
longhorn.n.01	bovid.n.01
blue_fox.n.01	fox.n.01
woolly_monkey.n.01	new_world_monkey.n.01
jungle_cat.n.01	jungle_cat.n.01
vole.n.01	mammal.n.01
western_big-eared_bat.n.01	long-eared_bat.n.01
leopard.n.02	leopard.n.02
hackney.n.02	hackney.n.02
shetland_sheepdog.n.01	placental.n.01
coati.n.01	carnivore.n.01
wild_boar.n.01	mammal.n.01
post_horse.n.01	placental.n.01
porker.n.01	porker.n.01
mouflon.n.01	mouflon.n.01
australian_sea_lion.n.01	seal.n.09
coondog.n.01	placental.n.01
schipperke.n.01	mammal.n.01
black_rat.n.01	rodent.n.01
waterbuck.n.01	placental.n.01
hack.n.06	odd-toed_ungulate.n.01
central_chimpanzee.n.01	anthropoid_ape.n.01
harrier.n.02	harrier.n.02
lesser_panda.n.01	mammal.n.01
wether.n.01	ruminant.n.01
collie.n.01	shepherd_dog.n.01
prancer.n.01	horse.n.01
doberman.n.01	placental.n.01
pygmy_marmoset.n.01	monkey.n.01
phalanger.n.01	metatherian.n.01
black-and-tan_coonhound.n.01	black-and-tan_coonhound.n.01
woolly_monkey.n.01	primate.n.02
ferret_badger.n.01	badger.n.02
cave_myotis.n.01	placental.n.01
desmodus_rotundus.n.01	vampire_bat.n.01
malinois.n.01	shepherd_dog.n.01
mexican_pocket_mouse.n.01	placental.n.01
hackney.n.02	odd-toed_ungulate.n.01
american_flying_squirrel.n.01	mammal.n.01
syrian_bear.n.01	brown_bear.n.01
dugong.n.01	sea_cow.n.01
central_chimpanzee.n.01	mammal.n.01
collared_pika.n.01	pika.n.01
grey.n.07	odd-toed_ungulate.n.01
domestic_llama.n.01	domestic_llama.n.01
proboscidean.n.01	proboscidean.n.01
gib.n.02	tom.n.02
eurasian_otter.n.01	placental.n.01
tree_squirrel.n.01	rodent.n.01
flat-coated_retriever.n.01	flat-coated_retriever.n.01
plantigrade_mammal.n.01	mammal.n.01
cotswold.n.01	bovid.n.01
welsh_pony.n.01	equine.n.01
american_foxhound.n.01	carnivore.n.01
addax.n.01	bovid.n.01
aberdeen_angus.n.01	ruminant.n.01
clydesdale.n.01	ungulate.n.01
angora.n.02	goat.n.01
taguan.n.01	taguan.n.01
prototherian.n.01	mammal.n.01
grade.n.09	cattle.n.01
yearling.n.02	racehorse.n.01
nyala.n.02	antelope.n.01
springer.n.02	even-toed_ungulate.n.01
seizure-alert_dog.n.01	seizure-alert_dog.n.01
gib.n.02	cat.n.01
longhorn.n.01	even-toed_ungulate.n.01
striped_skunk.n.01	mammal.n.01
coonhound.n.01	hunting_dog.n.01
cur.n.01	canine.n.02
exmoor.n.02	pony.n.05
vicuna.n.03	vicuna.n.03
white-tailed_jackrabbit.n.01	mammal.n.01
kitty.n.04	feline.n.01
pinscher.n.01	pinscher.n.01
afghan_hound.n.01	afghan_hound.n.01
fur_seal.n.01	fur_seal.n.01
bull_mastiff.n.01	bull_mastiff.n.01
hazel_mouse.n.01	dormouse.n.01
ocelot.n.01	feline.n.01
marco_polo_sheep.n.01	marco_polo_sheep.n.01
baleen_whale.n.01	whale.n.02
australian_sea_lion.n.01	australian_sea_lion.n.01
porcupine.n.01	mammal.n.01
whitetail_prairie_dog.n.01	whitetail_prairie_dog.n.01
lesser_kudu.n.01	kudu.n.01
rudapithecus.n.01	hominid.n.01
boxer.n.04	carnivore.n.01
blacktail_jackrabbit.n.01	lagomorph.n.01
drill.n.02	baboon.n.01
bluetick.n.01	dog.n.01
vaquita.n.01	mammal.n.01
tiger_cat.n.01	wildcat.n.03
wheel_horse.n.01	equine.n.01
flying_mouse.n.01	flying_mouse.n.01
clydesdale.n.01	horse.n.01
hound.n.01	dog.n.01
bighorn.n.02	ruminant.n.01
chinchilla.n.03	mammal.n.01
raccoon_dog.n.01	placental.n.01
palfrey.n.01	mammal.n.01
rorqual.n.01	baleen_whale.n.01
sassaby.n.01	even-toed_ungulate.n.01
sloth_bear.n.01	carnivore.n.01
rogue_elephant.n.01	proboscidean.n.01
white_elephant.n.02	proboscidean.n.01
virginia_deer.n.01	placental.n.01
count_fleet.n.01	count_fleet.n.01
lakeland_terrier.n.01	carnivore.n.01
billy.n.02	ruminant.n.01
omaha.n.04	equine.n.01
soft-coated_wheaten_terrier.n.01	terrier.n.01
bedlington_terrier.n.01	hunting_dog.n.01
wisent.n.01	ungulate.n.01
sable_antelope.n.01	even-toed_ungulate.n.01
staffordshire_bullterrier.n.01	hunting_dog.n.01
american_staffordshire_terrier.n.01	mammal.n.01
belgian_hare.n.01	placental.n.01
aquatic_mammal.n.01	mammal.n.01
tibetan_terrier.n.01	mammal.n.01
exmoor.n.01	even-toed_ungulate.n.01
procyonid.n.01	placental.n.01
canada_lynx.n.01	wildcat.n.03
old_english_sheepdog.n.01	shepherd_dog.n.01
raccoon.n.02	carnivore.n.01
leafnose_bat.n.01	bat.n.01
pygmy_sperm_whale.n.01	cetacean.n.01
african_hunting_dog.n.01	carnivore.n.01
spearnose_bat.n.01	placental.n.01
pooch.n.01	pooch.n.01
percheron.n.01	horse.n.01
blenheim_spaniel.n.01	placental.n.01
afghan_hound.n.01	mammal.n.01
cur.n.01	cur.n.01
persian_cat.n.01	mammal.n.01
dun.n.01	horse.n.01
nail-tailed_wallaby.n.01	mammal.n.01
rock_squirrel.n.01	rock_squirrel.n.01
tabby.n.01	tabby.n.01
three-year-old_horse.n.01	horse.n.01
broadtail.n.02	broadtail.n.02
springbok.n.01	springbok.n.01
sporting_dog.n.01	placental.n.01
new_world_tapir.n.01	mammal.n.01
muskrat.n.02	placental.n.01
banteng.n.01	ungulate.n.01
yak.n.02	even-toed_ungulate.n.01
hog.n.03	hog.n.03
basenji.n.01	basenji.n.01
panther.n.02	leopard.n.02
lesser_kudu.n.01	lesser_kudu.n.01
gibbon.n.02	ape.n.01
tamarisk_gerbil.n.01	mammal.n.01
wheel_horse.n.01	ungulate.n.01
beagle.n.01	carnivore.n.01
small_civet.n.01	mammal.n.01
hind.n.02	even-toed_ungulate.n.01
blue_point_siamese.n.01	feline.n.01
babirusa.n.01	swine.n.01
wire-haired_fox_terrier.n.01	carnivore.n.01
wood_rabbit.n.01	rabbit.n.01
pacific_walrus.n.01	walrus.n.01
long-tailed_porcupine.n.01	rodent.n.01
hyrax.n.01	mammal.n.01
airedale.n.01	carnivore.n.01
silky_tamarin.n.01	monkey.n.01
gomphothere.n.01	mammal.n.01
nanny.n.02	mammal.n.01
urial.n.01	bovid.n.01
bullock.n.02	placental.n.01
lapdog.n.01	placental.n.01
german_short-haired_pointer.n.01	sporting_dog.n.01
northern_flying_squirrel.n.01	northern_flying_squirrel.n.01
eastern_chipmunk.n.01	placental.n.01
warhorse.n.03	saddle_horse.n.01
urial.n.01	ruminant.n.01
domestic_llama.n.01	llama.n.01
javanthropus.n.01	hominid.n.01
northern_flying_squirrel.n.01	squirrel.n.01
harness_horse.n.01	ungulate.n.01
toy_manchester.n.01	mammal.n.01
homo_habilis.n.01	hominid.n.01
chimpanzee.n.01	mammal.n.01
egyptian_cat.n.01	domestic_cat.n.01
standard_poodle.n.01	carnivore.n.01
sambar.n.01	ungulate.n.01
silky_tamarin.n.01	mammal.n.01
potoroo.n.01	marsupial.n.01
chow.n.03	dog.n.01
lincoln.n.03	ungulate.n.01
black_squirrel.n.01	mammal.n.01
hound.n.01	mammal.n.01
common_raccoon.n.01	raccoon.n.02
wild_sheep.n.01	even-toed_ungulate.n.01
goat_antelope.n.01	bovid.n.01
pygmy_chimpanzee.n.01	primate.n.02
eared_seal.n.01	mammal.n.01
lesser_rorqual.n.01	rorqual.n.01
woodland_caribou.n.01	even-toed_ungulate.n.01
common_shrew.n.01	common_shrew.n.01
gemsbok.n.01	mammal.n.01
tabby.n.02	domestic_cat.n.01
marmoset.n.01	placental.n.01
blenheim_spaniel.n.01	english_toy_spaniel.n.01
fawn.n.02	mammal.n.01
sassaby.n.01	bovid.n.01
pacer.n.02	placental.n.01
sassaby.n.01	sassaby.n.01
deer_mouse.n.01	deer_mouse.n.01
beef.n.01	ungulate.n.01
baboon.n.01	monkey.n.01
cotswold.n.01	ruminant.n.01
ox.n.02	ox.n.02
shire.n.02	odd-toed_ungulate.n.01
american_saddle_horse.n.01	american_saddle_horse.n.01
bassarisk.n.01	carnivore.n.01
coach_horse.n.01	ungulate.n.01
lesser_rorqual.n.01	whale.n.02
greater_pichiciego.n.01	armadillo.n.01
tabby.n.02	mammal.n.01
water_rat.n.03	placental.n.01
guereza.n.01	monkey.n.01
collared_pika.n.01	placental.n.01
vampire_bat.n.01	carnivorous_bat.n.01
thomson's_gazelle.n.01	thomson's_gazelle.n.01
stablemate.n.01	ungulate.n.01
leveret.n.01	lagomorph.n.01
eurasian_hamster.n.01	rodent.n.01
steed.n.01	placental.n.01
muskrat.n.02	rodent.n.01
harpy.n.03	fruit_bat.n.01
vicuna.n.03	ungulate.n.01
tabby.n.02	carnivore.n.01
irish_wolfhound.n.01	placental.n.01
domestic_llama.n.01	even-toed_ungulate.n.01
seattle_slew.n.01	equine.n.01
talapoin.n.01	mammal.n.01
stallion.n.01	odd-toed_ungulate.n.01
ermine.n.02	musteline_mammal.n.01
leporid.n.01	leporid.n.01
african_elephant.n.01	african_elephant.n.01
wood_rat.n.01	rodent.n.01
schipperke.n.01	placental.n.01
megatherian.n.01	megatherian.n.01
kangaroo_mouse.n.01	kangaroo_mouse.n.01
dairy_cattle.n.01	ruminant.n.01
boston_bull.n.01	carnivore.n.01
harbor_porpoise.n.01	cetacean.n.01
cat.n.01	placental.n.01
pichiciago.n.01	armadillo.n.01
domestic_ass.n.01	mammal.n.01
homo_soloensis.n.01	placental.n.01
harpy.n.03	placental.n.01
kuvasz.n.01	watchdog.n.02
gibbon.n.02	anthropoid_ape.n.01
black-footed_ferret.n.01	placental.n.01
german_shepherd.n.01	carnivore.n.01
cavalry_horse.n.01	ungulate.n.01
mylodontid.n.01	mylodontid.n.01
nanny.n.02	placental.n.01
wild_ass.n.01	wild_ass.n.01
big_cat.n.01	mammal.n.01
thomson's_gazelle.n.01	placental.n.01
clumber.n.01	spaniel.n.01
ant_bear.n.01	mammal.n.01
tamarin.n.01	tamarin.n.01
rat.n.01	rodent.n.01
sinanthropus.n.01	primate.n.02
charolais.n.01	cattle.n.01
citation.n.06	thoroughbred.n.02
liver-spotted_dalmatian.n.01	placental.n.01
lapdog.n.01	lapdog.n.01
tapir.n.01	odd-toed_ungulate.n.01
dun.n.01	odd-toed_ungulate.n.01
flying_phalanger.n.01	phalanger.n.01
atlantic_walrus.n.01	walrus.n.01
gelding.n.01	mammal.n.01
alaskan_brown_bear.n.01	placental.n.01
jackass_bat.n.01	placental.n.01
bull.n.01	bovid.n.01
jaguar.n.01	mammal.n.01
long-tailed_porcupine.n.01	mammal.n.01
angora.n.02	ungulate.n.01
desmodus_rotundus.n.01	desmodus_rotundus.n.01
affirmed.n.01	equine.n.01
false_vampire.n.01	false_vampire.n.01
stud.n.04	male_horse.n.01
seattle_slew.n.01	ungulate.n.01
bird_dog.n.01	bird_dog.n.01
cattalo.n.01	even-toed_ungulate.n.01
two-year-old_horse.n.01	odd-toed_ungulate.n.01
ewe.n.03	placental.n.01
standard_schnauzer.n.01	mammal.n.01
ox.n.02	even-toed_ungulate.n.01
lemur.n.01	lemur.n.01
zinjanthropus.n.01	placental.n.01
genet.n.03	carnivore.n.01
gordon_setter.n.01	canine.n.02
groundhog.n.01	rodent.n.01
doberman.n.01	carnivore.n.01
earless_seal.n.01	seal.n.09
killer_whale.n.01	toothed_whale.n.01
jerboa_rat.n.01	rat.n.01
beagle.n.01	mammal.n.01
plains_pocket_mouse.n.01	mammal.n.01
curly-coated_retriever.n.01	retriever.n.01
broadtail.n.02	bovid.n.01
flying_phalanger.n.01	metatherian.n.01
fanaloka.n.01	viverrine.n.01
muishond.n.01	muishond.n.01
corgi.n.01	corgi.n.01
grevy's_zebra.n.01	zebra.n.01
homo_sapiens_sapiens.n.01	homo_sapiens.n.01
english_setter.n.01	sporting_dog.n.01
wombat.n.01	mammal.n.01
whirlaway.n.01	placental.n.01
heifer.n.01	mammal.n.01
bedlington_terrier.n.01	bedlington_terrier.n.01
uakari.n.01	new_world_monkey.n.01
hognose_bat.n.01	carnivorous_bat.n.01
northern_pocket_gopher.n.01	gopher.n.04
crabeater_seal.n.01	placental.n.01
northern_flying_squirrel.n.01	rodent.n.01
kiang.n.01	odd-toed_ungulate.n.01
